identity;dept;clage90;valuedate;valuePDivT;speedPDivT;accelerationPDivT
WPCR-256146;91;0;2020-10-31T00:00;0,170945887127;-0,000519824259;0,010973995017
WPCR-256157;91;0;2020-11-01T00:00;0,170436930242;-0,000508956885;0,000010867374
WPCR-256168;91;0;2020-11-02T00:00;0,179267274955;0,008830344713;0,009339301598
WPCR-256179;91;0;2020-11-03T00:00;0,177358786911;-0,001908488044;-0,010738832757
WPCR-256190;91;0;2020-11-04T00:00;0,175015025829;-0,002343761082;-0,000435273038
WPCR-256201;91;0;2020-11-05T00:00;0,165510329589;-0,00950469624;-0,007160935158
WPCR-256212;91;0;2020-11-06T00:00;0,151081006467;-0,014429323122;-0,004924626882
WPCR-256223;91;0;2020-11-07T00:00;0,138907344849;-0,012173661619;0,002255661503
WPCR-256234;91;0;2020-11-08T00:00;0,116343045848;-0,022564299;-0,010390637382
WPCR-256245;91;0;2020-11-09T00:00;0,12009339374;0,003750347892;0,026314646892
WPCR-256256;91;0;2020-11-10T00:00;0,115811850673;-0,004281543067;-0,008031890959
WPCR-256267;91;0;2020-11-11T00:00;0,11955016843;0,003738317757;0,008019860824
WPCR-256278;91;0;2020-11-12T00:00;0,110384570481;-0,009165597949;-0,012903915706
WPCR-256289;91;0;2020-11-13T00:00;0,105590502153;-0,004794068328;0,004371529621
WPCR-256300;91;0;2020-11-14T00:00;0,105686013136;0,000095510984;0,004889579312
WPCR-256311;91;0;2020-11-15T00:00;0,104944010107;-0,000742003029;-0,000837514013
WPCR-256322;91;0;2020-11-16T00:00;0,105129835926;0,000185825819;0,000927828848
WPCR-256333;91;0;2020-11-17T00:00;0,104043441074;-0,001086394852;-0,001272220671
WPCR-256344;91;0;2020-11-18T00:00;0,09455807709;-0,009485363984;-0,008398969132
WPCR-256355;91;0;2020-11-19T00:00;0,085663003096;-0,008895073994;0,00059028999
WPCR-256366;91;0;2020-11-20T00:00;0,076990158594;-0,008672844503;0,000222229491
WPCR-256377;91;0;2020-11-21T00:00;0,077893682141;0,000903523548;0,00957636805
