TEMPORAL;AMPLITUDE;AMPLITUDE_REAL;AMPLITUDE_IMAGINARY
100;0,0021080608822209726;-0,0021080608822209726;0,00000000000000000043
101;0,004846723888970512;-0,004846723888970512;0,00000000000000001149
102;0,0005853616005690391;-0,0005853616005690391;-0,00000000000000000282
103;0,0048968702332277785;0,0048968702332277785;0,0000000000000000052
104;0,0010769434445039483;-0,0010769434445039483;-0,00000000000000000618
105;0,003055301227423085;0,003055301227423085;0,00000000000000000065
106;0,0067072915508679855;-0,0067072915508679855;-0,00000000000000000347
107;0,004360991369770292;0,004360991369770292;-0,00000000000000000152
108;0,003326554696984242;0,003326554696984242;-0,00000000000000001084
109;0,00002210063488073029;0,00002210063488073029;-0,0000000000000000051
110;0,000482635745874893;-0,000482635745874893;-0,00000000000000000103
111;0,0007965602846053744;-0,0007965602846053744;-0,00000000000000000336
112;0,002114884753367326;-0,002114884753367326;-0,00000000000000000645
113;0,001715933495164505;-0,001715933495164505;0,00000000000000000515
114;0,0042518527127126575;0,0042518527127126575;-0,0000000000000000026
115;0,003302517281909282;0,003302517281909282;0,00000000000000000022
116;0,002694639433950096;-0,002694639433950096;-0,00000000000000000596
117;0,004370417995579323;-0,004370417995579323;0,00000000000000000499
118;0,0014166288053034817;0,0014166288053034817;-0,00000000000000000869
119;0,0012557044426623645;0,0012557044426623645;0,00000000000000000367
120;0,005232125405568266;-0,005232125405568266;-0,00000000000000000862
121;0,0015050698013734324;0,0015050698013734324;0,00000000000000000672
122;0,0011101903640461917;-0,0011101903640461917;-0,0000000000000000103
123;0,0073254584960421;0,0073254584960421;-0,0000000000000000013
124;0,0023840680106611482;-0,0023840680106611482;-0,00000000000000000157
125;0,0023208626010860142;0,0023208626010860142;-0,00000000000000000087
126;0,007920325813804467;-0,007920325813804467;0,00000000000000000011
127;0,004884524872988517;0,004884524872988517;-0,00000000000000000266
128;0,0012084821846995303;-0,0012084821846995303;0
129;0,004884524872988473;0,004884524872988473;-0,00000000000000000014
130;0,007920325813804438;-0,007920325813804438;0,00000000000000000317
131;0,0023208626010859656;0,0023208626010859656;-0,00000000000000000228
132;0,0023840680106611387;-0,0023840680106611387;-0,00000000000000000011
133;0,007325458496042092;0,007325458496042092;0,00000000000000000005
134;0,0011101903640462008;-0,0011101903640462008;0,0000000000000000077
135;0,0015050698013734471;0,0015050698013734471;-0,00000000000000000358
136;0,005232125405568256;-0,005232125405568256;0,00000000000000000786
137;0,0012557044426623636;0,0012557044426623636;-0,00000000000000000387
138;0,0014166288053034802;0,0014166288053034802;0,00000000000000000791
139;0,004370417995579327;-0,004370417995579327;-0,00000000000000000184
140;0,002694639433950092;-0,002694639433950092;0,00000000000000000634
141;0,0033025172819092685;0,0033025172819092685;-0,00000000000000000282
142;0,004251852712712667;0,004251852712712667;0,00000000000000000087
